tasa_ahorro,ratio_endeudamiento,ratio_gasto_ingreso,ratio_gasto_esencial,ratio_gasto_discrecional,concentracion_gasto,frecuencia_ahorro_num,ratio_recurrente,perfil_slug
-0.169,0.736,1.169,0.565,0.516,0.437,0,0.346,en_riesgo
0.356,0.016,0.644,0.432,0.176,0.309,3,0.160,saludable
-0.434,0.497,1.434,0.881,0.221,0.528,0,0.460,en_riesgo
-0.144,0.480,1.144,0.571,0.194,0.338,0,0.231,en_riesgo
0.132,0.320,0.868,0.583,0.196,0.585,2,0.492,en_observacion
0.447,0.165,0.553,0.400,0.120,0.461,3,0.150,saludable
0.306,0.112,0.694,0.385,0.220,0.268,3,0.317,saludable
-0.175,0.473,1.175,0.900,0.189,0.105,0,0.084,en_riesgo
0.088,0.175,0.912,0.424,0.249,0.358,1,0.168,en_observacion
0.215,0.121,0.785,0.376,0.212,0.207,3,0.182,saludable
0.356,0.027,0.644,0.353,0.213,0.543,3,0.119,saludable
-0.109,0.779,1.109,0.699,0.187,0.357,0,0.046,en_riesgo
0.171,0.382,0.829,0.481,0.108,0.812,2,0.479,en_riesgo
-0.048,0.490,1.048,0.828,0.162,0.225,1,0.323,en_riesgo
0.269,0.179,0.731,0.363,0.105,0.547,3,0.317,saludable
0.092,0.182,0.908,0.542,0.357,0.722,1,0.101,en_observacion
0.364,0.152,0.636,0.420,0.126,0.563,3,0.644,saludable
0.342,0.037,0.658,0.368,0.098,0.600,3,0.081,saludable
0.080,0.268,0.920,0.577,0.312,0.294,1,0.534,en_riesgo
0.258,0.013,0.742,0.359,0.293,0.565,3,0.242,saludable
-0.181,0.523,1.181,0.642,0.176,0.050,0,0.356,en_riesgo
-0.408,0.566,1.408,0.898,0.455,0.534,0,0.218,en_riesgo
0.226,0.368,0.774,0.602,0.090,0.102,1,0.138,en_observacion
0.207,0.319,0.793,0.486,0.198,0.239,2,0.275,en_observacion
0.056,0.351,0.944,0.721,0.192,0.482,1,0.387,en_riesgo
0.016,0.384,0.984,0.572,0.407,0.473,1,0.120,en_riesgo
0.044,0.239,0.956,0.578,0.181,0.493,1,0.280,en_riesgo
0.466,0.036,0.534,0.277,0.224,0.519,3,0.063,saludable
-0.414,0.697,1.414,1.051,0.150,0.285,0,0.291,en_riesgo
0.302,0.245,0.698,0.328,0.221,0.798,3,0.223,en_observacion
0.107,0.194,0.893,0.496,0.267,0.431,2,0.114,en_observacion
0.443,0.107,0.557,0.374,0.108,0.648,3,0.089,saludable
0.074,0.344,0.926,0.519,0.340,0.582,2,0.251,en_riesgo
0.050,0.244,0.950,0.592,0.125,0.470,2,0.221,en_observacion
-0.378,0.518,1.378,0.910,0.177,0.802,0,0.057,en_riesgo
0.209,0.200,0.791,0.630,0.125,0.275,2,0.162,en_observacion
0.487,0.227,0.513,0.273,0.104,0.774,2,0.046,saludable
0.021,0.515,0.979,0.557,0.372,0.266,0,0.268,en_riesgo
0.021,0.339,0.979,0.557,0.160,0.311,1,0.061,en_riesgo
-0.260,0.565,1.260,0.966,0.248,0.352,1,0.598,en_riesgo
-0.094,0.680,1.094,0.625,0.154,0.242,1,0.222,en_riesgo
0.049,0.427,0.951,0.440,0.219,0.468,2,0.425,en_riesgo
0.332,0.215,0.668,0.421,0.189,0.558,2,0.059,saludable
0.151,0.232,0.849,0.438,0.110,0.402,2,0.262,en_observacion
0.021,0.299,0.979,0.566,0.119,0.653,1,0.600,en_riesgo
0.236,0.059,0.764,0.587,0.130,0.030,3,0.068,saludable
0.052,0.385,0.948,0.585,0.362,0.391,1,0.101,en_riesgo
0.142,0.161,0.858,0.417,0.098,0.096,2,0.500,en_observacion
-0.054,0.486,1.054,0.628,0.106,0.531,0,0.067,en_riesgo
0.437,0.061,0.563,0.388,0.083,0.654,3,0.246,saludable
0.484,0.008,0.516,0.344,0.081,0.863,2,0.313,saludable
0.228,0.114,0.772,0.613,0.107,0.184,3,0.336,saludable
0.245,0.200,0.755,0.527,0.188,0.443,2,0.226,saludable
0.544,0.248,0.456,0.225,0.189,0.605,3,0.112,saludable
0.342,0.058,0.658,0.355,0.207,0.182,3,0.525,saludable
0.271,0.130,0.729,0.352,0.300,0.304,3,0.252,saludable
-0.140,0.583,1.140,0.804,0.287,0.701,1,0.072,en_riesgo
-0.139,0.674,1.139,0.670,0.227,0.862,1,0.133,en_riesgo
0.493,0.171,0.507,0.398,0.065,0.153,3,0.386,saludable
0.381,0.240,0.619,0.386,0.081,0.425,3,0.367,saludable
0.443,0.138,0.557,0.415,0.109,0.306,2,0.470,saludable
0.060,0.382,0.940,0.733,0.108,0.361,1,0.109,en_riesgo
-0.387,0.503,1.387,0.745,0.258,0.338,0,0.217,en_riesgo
0.506,0.238,0.494,0.387,0.059,0.525,3,0.275,saludable
0.117,0.206,0.883,0.650,0.195,0.093,2,0.165,en_observacion
-0.056,0.766,1.056,0.711,0.106,0.254,0,0.240,en_riesgo
0.296,0.115,0.704,0.465,0.150,0.457,3,0.428,saludable
0.174,0.434,0.826,0.585,0.146,0.455,1,0.420,en_riesgo
0.518,0.167,0.482,0.329,0.050,0.248,3,0.101,saludable
0.314,0.228,0.686,0.439,0.194,0.341,2,0.356,saludable
0.031,0.333,0.969,0.753,0.198,0.175,1,0.162,en_riesgo
-0.322,0.694,1.322,0.818,0.302,0.580,1,0.189,en_riesgo
0.547,0.084,0.453,0.337,0.055,0.411,3,0.073,saludable
0.015,0.412,0.985,0.536,0.403,0.614,1,0.190,en_riesgo
-0.450,0.582,1.450,1.022,0.421,0.521,0,0.245,en_riesgo
0.170,0.375,0.830,0.516,0.289,0.288,2,0.241,en_observacion
