fecha,descripcion,valor,moneda
2026-07-01,NOMINA JULIO,28000,MXN
2026-07-02,RENTA DEPTO JUL,-9000,MXN
2026-07-03,COMPRA SORIANA HIPER 4821,-6200,MXN
2026-07-05,PAGO TC VISA INTERESES,-4800,MXN
2026-07-06,LIVERPOOL DEPTO 22,-3200,MXN
2026-07-08,GASOLINERA PEMEX 7781,-2400,MXN
2026-07-10,UBER *TRIP HELP.UBER.COM,-1800,MXN
2026-07-11,DOM. CFE SUMINISTRO,-1100,MXN
2026-07-13,OXXO TIENDA 1832,-900,MXN
2026-07-15,FCIA GUADALAJARA SUC 112,-800,MXN
2026-07-18,TELMEX INTERNET,-600,MXN
2026-07-20,CINEPOLIS VIP,-450,MXN
2026-07-22,NETFLIX.COM AMSTERDAM,-219,MXN
2026-07-25,MERPAGO*SPOTIFY,-129,MXN
